Settlement Date,Product,Contract,Settlement
1/4/2013,CL,CLZ18,83.98
1/4/2013,CL,CLM19,83.91
1/4/2013,CL,CLZ19,83.83
1/4/2013,CL,CLM20,83.83
1/4/2013,CL,CLZ20,83.83
1/4/2013,CL,CLM21,83.83
1/4/2013,CL,CLZ21,83.83
1/7/2013,CL,CLG13,93.19
1/7/2013,CL,CLH13,93.63
1/7/2013,CL,CLJ13,94.02
1/7/2013,CL,CLK13,94.33
1/7/2013,CL,CLM13,94.54
1/7/2013,CL,CLN13,94.67
1/7/2013,CL,CLQ13,94.67
1/7/2013,CL,CLU13,94.57
1/7/2013,CL,CLV13,94.38
1/7/2013,CL,CLX13,94.18
1/7/2013,CL,CLZ13,94
1/7/2013,CL,CLF14,93.75
1/7/2013,CL,CLG14,93.5
1/7/2013,CL,CLH14,93.26
1/7/2013,CL,CLJ14,93.03
1/7/2013,CL,CLK14,92.84
1/7/2013,CL,CLM14,92.63
1/7/2013,CL,CLN14,92.35
1/7/2013,CL,CLQ14,92.12
1/7/2013,CL,CLU14,91.92
1/7/2013,CL,CLV14,91.74
1/7/2013,CL,CLX14,91.59
1/7/2013,CL,CLZ14,91.46
1/7/2013,CL,CLF15,91.17
1/7/2013,CL,CLG15,90.9
1/7/2013,CL,CLH15,90.65
1/7/2013,CL,CLJ15,90.41
1/7/2013,CL,CLK15,90.19
1/7/2013,CL,CLM15,89.99
1/7/2013,CL,CLN15,89.76
1/7/2013,CL,CLQ15,89.56
1/7/2013,CL,CLU15,89.39
1/7/2013,CL,CLV15,89.23
1/7/2013,CL,CLX15,89.08
1/7/2013,CL,CLZ15,88.94
1/7/2013,CL,CLF16,88.73
1/7/2013,CL,CLG16,88.53
1/7/2013,CL,CLH16,88.33
1/7/2013,CL,CLJ16,88.14
1/7/2013,CL,CLK16,87.95
1/7/2013,CL,CLM16,87.76
1/7/2013,CL,CLN16,87.58
1/7/2013,CL,CLQ16,87.42
1/7/2013,CL,CLU16,87.26
1/7/2013,CL,CLV16,87.1
1/7/2013,CL,CLX16,86.94
1/7/2013,CL,CLZ16,86.79
1/7/2013,CL,CLF17,86.64
1/7/2013,CL,CLG17,86.5
1/7/2013,CL,CLH17,86.37
1/7/2013,CL,CLJ17,86.24
1/7/2013,CL,CLK17,86.11
1/7/2013,CL,CLM17,85.99
1/7/2013,CL,CLN17,85.87
1/7/2013,CL,CLQ17,85.76
1/7/2013,CL,CLU17,85.65
1/7/2013,CL,CLV17,85.54
1/7/2013,CL,CLX17,85.44
1/7/2013,CL,CLZ17,85.34
1/7/2013,CL,CLF18,85.26
1/7/2013,CL,CLG18,85.18
1/7/2013,CL,CLH18,85.1
1/7/2013,CL,CLJ18,85.02
1/7/2013,CL,CLK18,84.95
1/7/2013,CL,CLM18,84.88
1/7/2013,CL,CLN18,84.81
1/7/2013,CL,CLQ18,84.74
1/7/2013,CL,CLU18,84.67
1/7/2013,CL,CLV18,84.6
1/7/2013,CL,CLX18,84.53
1/7/2013,CL,CLZ18,84.46
1/7/2013,CL,CLM19,84.34
1/7/2013,CL,CLZ19,84.22
1/7/2013,CL,CLM20,84.22
1/7/2013,CL,CLZ20,84.22
1/7/2013,CL,CLM21,84.22
1/7/2013,CL,CLZ21,84.22
1/8/2013,CL,CLG13,93.15
1/8/2013,CL,CLH13,93.6
1/8/2013,CL,CLJ13,94.02
1/8/2013,CL,CLK13,94.38
1/8/2013,CL,CLM13,94.65
1/8/2013,CL,CLN13,94.81
1/8/2013,CL,CLQ13,94.84
1/8/2013,CL,CLU13,94.77
1/8/2013,CL,CLV13,94.62
1/8/2013,CL,CLX13,94.44
1/8/2013,CL,CLZ13,94.28
1/8/2013,CL,CLF14,94.04
1/8/2013,CL,CLG14,93.8
1/8/2013,CL,CLH14,93.56
1/8/2013,CL,CLJ14,93.34
1/8/2013,CL,CLK14,93.15
1/8/2013,CL,CLM14,92.95
1/8/2013,CL,CLN14,92.68
1/8/2013,CL,CLQ14,92.45
1/8/2013,CL,CLU14,92.26
1/8/2013,CL,CLV14,92.09
1/8/2013,CL,CLX14,91.95
1/8/2013,CL,CLZ14,91.83
1/8/2013,CL,CLF15,91.54
1/8/2013,CL,CLG15,91.26
1/8/2013,CL,CLH15,91
1/8/2013,CL,CLJ15,90.76
1/8/2013,CL,CLK15,90.53
1/8/2013,CL,CLM15,90.33
1/8/2013,CL,CLN15,90.09
1/8/2013,CL,CLQ15,89.88
1/8/2013,CL,CLU15,89.7
1/8/2013,CL,CLV15,89.53
1/8/2013,CL,CLX15,89.37
1/8/2013,CL,CLZ15,89.22
1/8/2013,CL,CLF16,89
1/8/2013,CL,CLG16,88.78
1/8/2013,CL,CLH16,88.57
1/8/2013,CL,CLJ16,88.36
1/8/2013,CL,CLK16,88.16
1/8/2013,CL,CLM16,87.96
1/8/2013,CL,CLN16,87.77
1/8/2013,CL,CLQ16,87.59
1/8/2013,CL,CLU16,87.41
1/8/2013,CL,CLV16,87.24
1/8/2013,CL,CLX16,87.07
1/8/2013,CL,CLZ16,86.9
1/8/2013,CL,CLF17,86.73
1/8/2013,CL,CLG17,86.57
1/8/2013,CL,CLH17,86.42
1/8/2013,CL,CLJ17,86.27
1/8/2013,CL,CLK17,86.13
1/8/2013,CL,CLM17,85.99
1/8/2013,CL,CLN17,85.86
1/8/2013,CL,CLQ17,85.73
1/8/2013,CL,CLU17,85.6
1/8/2013,CL,CLV17,85.48
1/8/2013,CL,CLX17,85.36
1/8/2013,CL,CLZ17,85.25
1/8/2013,CL,CLF18,85.16
1/8/2013,CL,CLG18,85.07
1/8/2013,CL,CLH18,84.98
1/8/2013,CL,CLJ18,84.89
1/8/2013,CL,CLK18,84.81
1/8/2013,CL,CLM18,84.73
1/8/2013,CL,CLN18,84.65
1/8/2013,CL,CLQ18,84.57
1/8/2013,CL,CLU18,84.49
1/8/2013,CL,CLV18,84.41
1/8/2013,CL,CLX18,84.33
1/8/2013,CL,CLZ18,84.25
1/8/2013,CL,CLM19,84.07
1/8/2013,CL,CLZ19,83.89
1/8/2013,CL,CLM20,83.89
1/8/2013,CL,CLZ20,83.89
1/8/2013,CL,CLM21,83.89
1/8/2013,CL,CLZ21,83.89
1/9/2013,CL,CLG13,93.1
1/9/2013,CL,CLH13,93.56
1/9/2013,CL,CLJ13,93.99
1/9/2013,CL,CLK13,94.38
1/9/2013,CL,CLM13,94.68
1/9/2013,CL,CLN13,94.87
1/9/2013,CL,CLQ13,94.91
1/9/2013,CL,CLU13,94.86
1/9/2013,CL,CLV13,94.72
1/9/2013,CL,CLX13,94.55
1/9/2013,CL,CLZ13,94.39
1/9/2013,CL,CLF14,94.16
1/9/2013,CL,CLG14,93.92
1/9/2013,CL,CLH14,93.68
1/9/2013,CL,CLJ14,93.46
1/9/2013,CL,CLK14,93.26
1/9/2013,CL,CLM14,93.05
1/9/2013,CL,CLN14,92.77
1/9/2013,CL,CLQ14,92.54
1/9/2013,CL,CLU14,92.35
1/9/2013,CL,CLV14,92.18
1/9/2013,CL,CLX14,92.04
1/9/2013,CL,CLZ14,91.92
1/9/2013,CL,CLF15,91.63
1/9/2013,CL,CLG15,91.35
1/9/2013,CL,CLH15,91.09
1/9/2013,CL,CLJ15,90.84
1/9/2013,CL,CLK15,90.61
1/9/2013,CL,CLM15,90.41
1/9/2013,CL,CLN15,90.17
1/9/2013,CL,CLQ15,89.96
1/9/2013,CL,CLU15,89.77
1/9/2013,CL,CLV15,89.6
1/9/2013,CL,CLX15,89.44
1/9/2013,CL,CLZ15,89.29
1/9/2013,CL,CLF16,89.07
1/9/2013,CL,CLG16,88.85
1/9/2013,CL,CLH16,88.64
1/9/2013,CL,CLJ16,88.43
1/9/2013,CL,CLK16,88.23
1/9/2013,CL,CLM16,88.03
1/9/2013,CL,CLN16,87.84
1/9/2013,CL,CLQ16,87.66
1/9/2013,CL,CLU16,87.48
1/9/2013,CL,CLV16,87.31
